year_month,q05,q10,q25,q50,q70,q75,q80,q90,q95,count,count_filtered,count_total,percent_used_month,n_used_display,date,overall_count_total,overall_count_filtered,overall_percent_used,overall_display,indicator,retention_filter,season_scope
2002-07,86.24838066666666,87.74586466666666,89.10490599999999,93.17142333333334,95.13709633333333,95.197875,95.842982,97.21006783333334,98.00891850000001,9,9,23,39.1,9 (39.1%),2002-07-01,4692,2971,63.3,2971 (63.3%),10 day NDVI anomaly,none,All Months
2002-07,73.78330693333334,83.73266586666666,91.57376274999999,95.94385683333334,98.55230466666667,98.72045125,98.9600056,99.44356016666667,99.77450183333335,62,62,76,81.6,62 (81.6%),2002-07-01,17404,8195,47.1,8195 (47.1%),10 day NDVI anomaly,none,All Months
2002-07,73.78330693333334,83.73266586666666,91.57376274999999,95.94385683333334,98.55230466666667,98.72045125,98.9600056,99.44356016666667,99.77450183333335,62,62,76,81.6,62 (81.6%),2002-07-01,9348,6704,71.7,6704 (71.7%),10 day NDVI anomaly,>=40%,All Months
2002-08,83.07707970833334,83.25877025000001,87.199278125,92.85300416666666,94.45355466666666,95.316345625,96.47536216666667,98.12428575,98.50267454166666,8,8,23,34.8,8 (34.8%),2002-08-01,4692,2971,63.3,2971 (63.3%),10 day NDVI anomaly,none,All Months
2002-08,87.19600375000002,90.04093893333334,93.77937283333333,96.8512735,98.62245233333334,98.860323,99.07290333333333,99.646875,99.779213,64,64,76,84.2,64 (84.2%),2002-08-01,17404,8195,47.1,8195 (47.1%),10 day NDVI anomaly,none,All Months
2002-08,87.19600375000002,90.04093893333334,93.77937283333333,96.8512735,98.62245233333334,98.860323,99.07290333333333,99.646875,99.779213,64,64,76,84.2,64 (84.2%),2002-08-01,9348,6704,71.7,6704 (71.7%),10 day NDVI anomaly,>=40%,All Months
2002-09,78.40389363333334,79.05176493333333,81.447329,84.22722750000001,91.9361764,92.653051,93.3699256,94.6655878,95.27889715,7,7,23,30.4,7 (30.4%),2002-09-01,4692,2971,63.3,2971 (63.3%),10 day NDVI anomaly,none,All Months
2002-09,90.7699276,92.33914833333333,95.34818666666666,97.49152166666666,98.2328256,98.29689466666666,98.91903133333334,99.79251746666667,99.86930366666667,57,57,76,75.0,57 (75.0%),2002-09-01,17404,8195,47.1,8195 (47.1%),10 day NDVI anomaly,none,All Months
2002-09,90.7699276,92.33914833333333,95.34818666666666,97.49152166666666,98.2328256,98.29689466666666,98.91903133333334,99.79251746666667,99.86930366666667,57,57,76,75.0,57 (75.0%),2002-09-01,9348,6704,71.7,6704 (71.7%),10 day NDVI anomaly,>=40%,All Months
2002-10,80.2055106,81.63759019999999,85.65914666666667,91.48180633333334,94.6623976,96.49049766666667,97.8098516,99.79665688333333,99.81220565,9,9,23,39.1,9 (39.1%),2002-10-01,4692,2971,63.3,2971 (63.3%),10 day NDVI anomaly,none,All Months
2002-10,87.60039499999999,93.29854493333335,94.36147733333334,96.42544333333335,98.24442986666666,98.59626000000002,98.89039246666667,99.63785866666667,99.695261,63,63,76,82.9,63 (82.9%),2002-10-01,17404,8195,47.1,8195 (47.1%),10 day NDVI anomaly,none,All Months
2002-10,87.60039499999999,93.29854493333335,94.36147733333334,96.42544333333335,98.24442986666666,98.59626000000002,98.89039246666667,99.63785866666667,99.695261,63,63,76,82.9,63 (82.9%),2002-10-01,9348,6704,71.7,6704 (71.7%),10 day NDVI anomaly,>=40%,All Months
2002-11,84.30092979166666,85.40103541666667,88.02528833333334,91.20940583333334,93.71062649999999,94.00524058333333,94.29985466666666,96.43241462499999,97.49869460416666,6,6,23,26.1,6 (26.1%),2002-11-01,4692,2971,63.3,2971 (63.3%),10 day NDVI anomaly,none,All Months
2002-11,87.71879916666666,88.87953,91.97882166666668,94.6629,98.01851333333333,98.26552166666667,98.90167666666666,99.18440833333334,99.53239833333333,71,71,76,93.4,71 (93.4%),2002-11-01,17404,8195,47.1,8195 (47.1%),10 day NDVI anomaly,none,All Months
